n_abu_pool,E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh_total,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_attached_hr,t_return_cruise_abu_hr,t_charge_hr_main,t_charge_hr_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_abu_day_hr,abu_utilization_avg,abu_bottleneck_flag,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
1.000000,5.000000,17.000000,5.000000,4.675136,62.786645,77.425942,17.000000,0.810925,1.000000,0.189075,0.000000,1.000000,0.433333,0.028121,0.806499,0.923779,0.276800,1.640412,14.000000,15.000000,6.500000,0.000000,0.000000,0.719117,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,10.000000,22.000000,10.000000,9.190046,58.271735,77.425942,22.000000,0.752613,1.000000,0.247387,0.000000,1.000000,0.433333,0.055279,0.745757,0.882452,0.348178,1.599086,15.000000,15.000000,6.500000,0.013714,0.000000,0.742737,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,15.000000,27.000000,15.000000,13.554368,53.907414,77.425942,27.000000,0.696245,1.000000,0.303755,0.000000,1.000000,0.433333,0.081530,0.687040,0.842504,0.417592,1.559138,15.000000,16.000000,6.933333,0.000000,0.000000,0.816886,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,20.000000,32.000000,20.000000,17.771405,49.690376,77.425942,32.000000,0.641779,1.000000,0.358221,0.000000,1.000000,0.433333,0.106896,0.630306,0.803904,0.485428,1.520538,15.000000,16.000000,6.933333,0.000000,0.000000,0.841198,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,25.000000,37.000000,25.000000,21.845826,45.615955,77.425942,37.000000,0.589156,1.000000,0.410844,0.000000,1.000000,0.433333,0.131404,0.575490,0.766610,0.551949,1.483243,16.000000,16.000000,6.933333,0.268107,0.000000,0.865340,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,30.000000,42.000000,30.000000,25.782184,41.679598,77.425942,42.000000,0.538316,1.000000,0.461684,0.000000,1.000000,0.433333,0.155081,0.522532,0.730579,0.617344,1.447213,16.000000,17.000000,7.366667,0.000000,0.000000,0.945004,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,35.000000,47.000000,35.000000,29.584899,37.876882,77.425942,47.000000,0.489201,1.000000,0.510799,0.000000,1.000000,0.433333,0.177955,0.471371,0.695772,0.681758,1.412405,16.000000,17.000000,7.366667,0.000000,0.000000,0.970594,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,40.000000,52.000000,40.000000,33.258264,34.203518,77.425942,52.000000,0.441758,1.000000,0.558242,0.000000,1.000000,0.433333,0.200050,0.421951,0.662148,0.745302,1.378782,17.000000,17.000000,7.366667,0.117696,0.443015,0.996250,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,45.000000,57.000000,45.000000,36.806440,30.655341,77.425942,57.000000,0.395931,1.000000,0.604069,0.000000,1.000000,0.433333,0.221393,0.374215,0.629671,0.808068,1.346304,17.000000,17.000000,7.366667,0.000000,1.544617,1.022014,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,50.000000,62.000000,50.000000,40.233466,27.228315,77.425942,62.000000,0.351669,1.000000,0.648331,0.000000,1.000000,0.433333,0.242006,0.328109,0.598302,0.870130,1.314935,18.000000,16.000000,6.933333,0.493883,2.467150,0.986275,1.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,5.000000,17.000000,5.000000,4.675136,62.786645,77.425942,17.000000,0.810925,1.000000,0.189075,0.000000,1.000000,0.433333,0.028121,0.806499,0.923779,0.276800,1.640412,14.000000,15.000000,6.500000,0.000000,0.000000,0.359558,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,10.000000,22.000000,10.000000,9.190046,58.271735,77.425942,22.000000,0.752613,1.000000,0.247387,0.000000,1.000000,0.433333,0.055279,0.745757,0.882452,0.348178,1.599086,15.000000,15.000000,6.500000,0.013714,0.000000,0.371369,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,15.000000,27.000000,15.000000,13.554368,53.907414,77.425942,27.000000,0.696245,1.000000,0.303755,0.000000,1.000000,0.433333,0.081530,0.687040,0.842504,0.417592,1.559138,15.000000,16.000000,6.933333,0.000000,0.000000,0.408443,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,20.000000,32.000000,20.000000,17.771405,49.690376,77.425942,32.000000,0.641779,1.000000,0.358221,0.000000,1.000000,0.433333,0.106896,0.630306,0.803904,0.485428,1.520538,15.000000,16.000000,6.933333,0.000000,0.000000,0.420599,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,25.000000,37.000000,25.000000,21.845826,45.615955,77.425942,37.000000,0.589156,1.000000,0.410844,0.000000,1.000000,0.433333,0.131404,0.575490,0.766610,0.551949,1.483243,16.000000,16.000000,6.933333,0.268107,0.000000,0.432670,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,30.000000,42.000000,30.000000,25.782184,41.679598,77.425942,42.000000,0.538316,1.000000,0.461684,0.000000,1.000000,0.433333,0.155081,0.522532,0.730579,0.617344,1.447213,16.000000,17.000000,7.366667,0.000000,0.000000,0.472502,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,35.000000,47.000000,35.000000,29.584899,37.876882,77.425942,47.000000,0.489201,1.000000,0.510799,0.000000,1.000000,0.433333,0.177955,0.471371,0.695772,0.681758,1.412405,16.000000,17.000000,7.366667,0.000000,0.000000,0.485297,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,40.000000,52.000000,40.000000,33.258264,34.203518,77.425942,52.000000,0.441758,1.000000,0.558242,0.000000,1.000000,0.433333,0.200050,0.421951,0.662148,0.745302,1.378782,17.000000,18.000000,7.800000,0.000000,0.000000,0.527426,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,45.000000,57.000000,45.000000,36.806440,30.655341,77.425942,57.000000,0.395931,1.000000,0.604069,0.000000,1.000000,0.433333,0.221393,0.374215,0.629671,0.808068,1.346304,17.000000,18.000000,7.800000,0.000000,0.000000,0.541066,0.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,50.000000,62.000000,50.000000,40.233466,27.228315,77.425942,62.000000,0.351669,1.000000,0.648331,0.000000,1.000000,0.433333,0.242006,0.328109,0.598302,0.870130,1.314935,18.000000,18.000000,7.800000,0.331162,0.000000,0.554780,0.000000,109.250000,109.250000,charger_limited,charger_limited
