n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,P_hover_attach_kw,P_cruise_attach_kw,t_divert_s,divert_distance_mi,E_divert_kwh,t_hover_s,E_hover_kwh,t_hover_descend_s,E_hover_descend_kwh,E_ops_kwh_total,t_loiter_hover_max_s,feasible,margin_kwh,note
1.000000,5.000000,11.000000,67.062948,13.412590,3.353147,22.598154,106.426838,682.172301,199.367288,198.275975,6.000000,10.980484,60.000000,11.369538,40.000000,6.296171,6.000000,0.000000,0.000000,-29.646194,Insufficient ABU mission energy
1.000000,10.000000,16.000000,97.546106,19.509221,4.877305,22.598154,144.530786,693.483822,202.364777,198.275975,6.000000,11.145576,60.000000,11.558064,40.000000,6.400572,6.000000,0.000000,0.000000,-25.104212,Insufficient ABU mission energy
1.000000,15.000000,21.000000,128.029264,25.605853,6.401463,22.598154,182.634734,704.857183,205.391603,198.275975,6.000000,11.312283,60.000000,11.747620,40.000000,6.505543,6.000000,0.000000,0.000000,-20.565447,Insufficient ABU mission energy
1.000000,20.000000,26.000000,158.512422,31.702484,7.925621,22.598154,220.738681,716.292049,208.447765,198.275975,6.000000,11.480607,60.000000,11.938201,40.000000,6.611083,6.000000,0.000000,0.000000,-16.029890,Insufficient ABU mission energy
1.000000,25.000000,31.000000,188.995580,37.799116,9.449779,22.598154,258.842629,727.788090,211.533264,198.275975,6.000000,11.650546,60.000000,12.129802,40.000000,6.717186,6.000000,0.000000,0.000000,-11.497533,Insufficient ABU mission energy
1.000000,30.000000,36.000000,219.478738,43.895748,10.973937,22.598154,296.946576,739.344983,214.648099,198.275975,6.000000,11.822100,60.000000,12.322416,40.000000,6.823852,6.000000,0.000000,0.000000,-6.968368,Insufficient ABU mission energy
1.000000,35.000000,41.000000,249.961896,49.992379,12.498095,22.598154,335.050524,750.962409,217.792270,198.275975,6.000000,11.995271,60.000000,12.516040,40.000000,6.931076,6.000000,0.000000,0.000000,-2.442387,Insufficient ABU mission energy
1.000000,40.000000,46.000000,280.445054,56.089011,14.022253,22.598154,373.154471,762.640054,220.965777,198.275975,6.000000,12.170057,60.000000,12.710668,40.000000,7.038856,6.000000,9.820506,1.000000,2.080420,feasible
1.000000,45.000000,51.000000,310.928212,62.185642,15.546411,22.598154,411.258419,774.377610,224.168621,198.275975,6.000000,12.346459,60.000000,12.906293,40.000000,7.147188,6.000000,30.682980,1.000000,6.600059,feasible
1.000000,50.000000,56.000000,341.411370,68.282274,17.070569,22.598154,449.362367,786.174771,227.400801,198.275975,6.000000,12.524477,60.000000,13.102913,40.000000,7.256071,6.000000,50.904128,1.000000,11.116539,feasible
