n_abu_pool,E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh_total,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_attached_hr,t_return_cruise_abu_hr,t_charge_hr_main,t_charge_hr_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_abu_day_hr,abu_utilization_avg,abu_bottleneck_flag,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
1.000000,5.000000,17.000000,5.000000,4.816120,51.825269,71.989649,17.000000,0.719899,1.000000,0.280101,0.000000,1.000000,0.233333,0.016312,0.385579,0.807683,0.276800,1.324317,18.000000,18.000000,4.200000,0.162299,0.000000,0.538393,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,10.000000,22.000000,10.000000,9.540571,47.100818,71.989649,22.000000,0.654272,1.000000,0.345728,0.000000,1.000000,0.233333,0.032313,0.349789,0.764439,0.348178,1.281072,18.000000,19.000000,4.433333,0.000000,0.000000,0.609145,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,15.000000,27.000000,15.000000,14.176934,42.464455,71.989649,27.000000,0.589869,1.000000,0.410131,0.000000,1.000000,0.233333,0.048017,0.314666,0.722001,0.417592,1.238634,19.000000,20.000000,4.666667,0.000000,0.000000,0.682868,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,20.000000,32.000000,20.000000,18.726042,37.915347,71.989649,32.000000,0.526678,1.000000,0.473322,0.000000,1.000000,0.233333,0.063424,0.280204,0.680361,0.485428,1.196995,20.000000,20.000000,4.666667,0.060104,0.000000,0.723519,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,25.000000,37.000000,25.000000,23.189372,33.452017,71.989649,37.000000,0.464678,1.000000,0.535322,0.000000,1.000000,0.233333,0.078541,0.246392,0.639507,0.551949,1.156141,20.000000,21.000000,4.900000,0.000000,0.000000,0.801543,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,30.000000,42.000000,30.000000,27.568389,29.073000,71.989649,42.000000,0.403850,1.000000,0.596150,0.000000,1.000000,0.233333,0.093373,0.213219,0.599425,0.617344,1.116058,21.000000,22.000000,5.133333,0.000000,0.000000,0.882844,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,35.000000,47.000000,35.000000,31.864539,24.776850,71.989649,47.000000,0.344172,1.000000,0.655828,0.000000,1.000000,0.233333,0.107924,0.180673,0.560101,0.681758,1.076734,22.000000,23.000000,5.366667,0.000000,0.000000,0.967458,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,40.000000,52.000000,40.000000,36.079246,20.562143,71.989649,52.000000,0.285626,1.000000,0.714374,0.000000,1.000000,0.233333,0.122199,0.148745,0.521522,0.745302,1.038155,23.000000,23.000000,5.366667,0.000000,0.379665,1.011437,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,45.000000,57.000000,45.000000,40.213917,16.427472,71.989649,57.000000,0.228192,1.000000,0.771808,0.000000,1.000000,0.233333,0.136203,0.117423,0.483676,0.808068,1.000309,23.000000,22.000000,5.133333,0.000000,2.111577,1.009122,1.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,50.000000,62.000000,50.000000,44.269937,12.371452,71.989649,62.000000,0.171850,1.000000,0.828150,0.000000,1.000000,0.233333,0.149940,0.086696,0.399637,0.870130,0.916271,26.000000,21.000000,4.900000,0.165055,4.593260,1.002692,1.000000,109.250000,109.250000,charger_limited,charger_limited
2.000000,5.000000,17.000000,5.000000,4.816120,51.825269,71.989649,17.000000,0.719899,1.000000,0.280101,0.000000,1.000000,0.233333,0.016312,0.385579,0.807683,0.276800,1.324317,18.000000,18.000000,4.200000,0.162299,0.000000,0.269196,0.000000,109.250000,109.250000,charger_limited,charger_limited
